# time (hhmmss),heat->kettle,kettle->air,kettle->boil,condenser->air,alc->condenser,alc->output,H2O->condenser,H2O output
000101,3000.000000,263.346680,0.000000,70.699692,17825.833984,4765.918945,7358.454102,2395.271484
000102,3000.000000,267.533539,0.000000,71.823723,18769.517578,5018.222656,7759.805664,2525.916504
000103,3000.000000,271.713989,0.000000,72.946022,18769.517578,5018.222656,7759.805664,2525.916504
000104,3000.000000,275.888000,0.000000,74.066605,18769.517578,5018.222656,7759.805664,2525.916504
000105,3000.000000,280.055573,0.000000,75.185463,18769.517578,5018.222656,7759.805664,2525.916504
000106,3000.000000,284.216736,0.000000,76.302589,19755.683594,5281.884277,8179.892578,2662.660400
000107,3000.000000,288.371521,0.000000,77.418015,19755.683594,5281.884277,8179.892578,2662.660400
000108,3000.000000,292.519989,0.000000,78.531731,19755.683594,5281.884277,8179.892578,2662.660400
000109,3000.000000,296.662079,0.000000,79.643745,19755.683594,5281.884277,8179.892578,2662.660400
000110,3000.000000,300.797821,0.000000,80.754051,20785.859375,5557.312012,8619.432617,2805.736084
000111,3000.000000,304.927216,0.000000,81.862656,20785.859375,5557.312012,8619.432617,2805.736084
000112,3000.000000,309.050232,0.000000,82.969551,20785.859375,5557.312012,8619.432617,2805.736084
000113,3000.000000,313.166931,0.000000,84.074738,20785.859375,5557.312012,8619.432617,2805.736084
000114,3000.000000,317.277313,0.000000,85.178246,21861.662109,5844.938965,9079.166016,2955.385498
000115,3000.000000,321.381378,0.000000,86.280045,21861.662109,5844.938965,9079.166016,2955.385498
000116,3000.000000,325.479126,0.000000,87.380157,21861.662109,5844.938965,9079.166016,2955.385498
000117,3000.000000,329.570618,0.000000,88.478577,21861.662109,5844.938965,9079.166016,2955.385498
000118,3000.000000,333.655823,0.000000,89.575317,22984.701172,6145.195312,9559.850586,3111.854492
000119,3000.000000,337.734741,0.000000,90.670372,22984.701172,6145.195312,9559.850586,3111.854492
000120,3000.000000,341.807465,0.000000,91.763756,22984.701172,6145.195312,9559.850586,3111.854492
000121,3000.000000,345.873871,0.000000,92.855453,22984.701172,6145.195312,9559.850586,3111.854492
000122,3000.000000,349.934082,0.000000,93.945480,22984.701172,6145.195312,9559.850586,3111.854492
000123,3000.000000,353.988098,0.000000,95.033844,24156.691406,6458.538574,10062.265625,3275.396973
000124,3000.000000,358.035828,0.000000,96.120522,24156.691406,6458.538574,10062.265625,3275.396973
000125,3000.000000,362.077393,0.000000,97.205551,24156.691406,6458.538574,10062.265625,3275.396973
000126,3000.000000,366.112762,0.000000,98.288910,24156.691406,6458.538574,10062.265625,3275.396973
000127,3000.000000,370.141937,0.000000,99.370605,25379.312500,6785.418945,10587.219727,3446.276367
000128,3000.000000,374.164886,0.000000,100.450630,25379.312500,6785.418945,10587.219727,3446.276367
000129,3000.000000,378.181702,0.000000,101.529015,25379.312500,6785.418945,10587.219727,3446.276367
000130,3000.000000,382.192383,0.000000,102.605743,25379.312500,6785.418945,10587.219727,3446.276367
000131,3000.000000,386.196838,0.000000,103.680801,26654.373047,7126.319336,11135.535156,3624.760010
000132,3000.000000,390.195160,0.000000,104.754219,26654.373047,7126.319336,11135.535156,3624.760010
000133,3000.000000,394.187347,0.000000,105.825989,26654.373047,7126.319336,11135.535156,3624.760010
000134,3000.000000,398.173462,0.000000,106.896126,26654.373047,7126.319336,11135.535156,3624.760010
000135,3000.000000,402.153442,0.000000,107.964615,27983.660156,7481.717773,11708.058594,3811.123779
000136,3000.000000,406.127258,0.000000,109.031456,27983.660156,7481.717773,11708.058594,3811.123779
000137,3000.000000,410.095032,0.000000,110.096664,27983.660156,7481.717773,11708.058594,3811.123779
000138,3000.000000,414.056732,0.000000,111.160248,27983.660156,7481.717773,11708.058594,3811.123779
000139,3000.000000,418.012360,0.000000,112.222198,29369.050781,7852.116699,12305.666992,4005.652832
000140,3000.000000,421.961884,0.000000,113.282509,29369.050781,7852.116699,12305.666992,4005.652832
000141,3000.000000,425.905365,0.000000,114.341202,29369.050781,7852.116699,12305.666992,4005.652832
000142,3000.000000,429.842804,0.000000,115.398270,29369.050781,7852.116699,12305.666992,4005.652832
000143,3000.000000,433.774170,0.000000,116.453705,29369.050781,7852.116699,12305.666992,4005.652832
000144,3000.000000,437.699524,0.000000,117.507538,30812.417969,8238.015625,12929.250000,4208.637207
000145,3000.000000,441.618805,0.000000,118.559738,30812.417969,8238.015625,12929.250000,4208.637207
000146,3000.000000,445.532135,0.000000,119.610321,30812.417969,8238.015625,12929.250000,4208.637207
000147,3000.000000,449.439423,0.000000,120.659302,30812.417969,8238.015625,12929.250000,4208.637207
000148,3000.000000,453.340729,0.000000,121.706673,32315.755859,8639.948242,13579.727539,4420.375977
000149,3000.000000,457.236053,0.000000,122.752434,32315.755859,8639.948242,13579.727539,4420.375977
000150,3000.000000,461.125427,0.000000,123.796600,32315.755859,8639.948242,13579.727539,4420.375977
000151,3000.000000,465.008820,0.000000,124.839157,32315.755859,8639.948242,13579.727539,4420.375977
000152,3000.000000,468.886200,0.000000,125.880112,33881.035156,9058.442383,14258.045898,4641.177734
000153,3000.000000,472.757690,0.000000,126.919464,33881.035156,9058.442383,14258.045898,4641.177734
000154,3000.000000,476.623138,0.000000,127.957214,33881.035156,9058.442383,14258.045898,4641.177734
000155,3000.000000,480.482758,0.000000,128.993393,33881.035156,9058.442383,14258.045898,4641.177734
000156,3000.000000,484.336395,0.000000,130.027954,33881.035156,9058.442383,14258.045898,4641.177734
000157,3000.000000,488.184143,0.000000,131.060959,35510.320312,9494.047852,14965.167969,4871.354980
000158,3000.000000,492.026215,0.000000,132.092422,35510.320312,9494.047852,14965.167969,4871.354980
000159,3000.000000,495.862000,0.000000,133.122192,35510.320312,9494.047852,14965.167969,4871.354980
000200,3000.000000,499.692047,0.000000,134.150436,35510.320312,9494.047852,14965.167969,4871.354980
000201,3000.000000,503.516418,0.000000,135.177139,37205.695312,9947.323242,15702.083984,5111.230469
000202,3000.000000,507.334747,0.000000,136.202240,37205.695312,9947.323242,15702.083984,5111.230469
000203,3000.000000,511.147125,0.000000,137.225739,37205.695312,9947.323242,15702.083984,5111.230469
000204,3000.000000,514.953796,0.000000,138.247696,37205.695312,9947.323242,15702.083984,5111.230469
000205,3000.000000,518.754700,0.000000,139.268112,37205.695312,9947.323242,15702.083984,5111.230469
000206,3000.000000,522.549622,0.000000,140.286926,38969.328125,10418.848633,16469.824219,5361.139648
000207,3000.000000,526.338562,0.000000,141.304138,38969.328125,10418.848633,16469.824219,5361.139648
000208,3000.000000,530.122131,0.000000,142.319885,38969.328125,10418.848633,16469.824219,5361.139648
000209,3000.000000,533.899658,0.000000,143.334015,38969.328125,10418.848633,16469.824219,5361.139648
000210,3000.000000,537.671143,0.000000,144.346542,40803.382812,10909.201172,17269.423828,5621.419922
000211,3000.000000,541.437256,0.000000,145.357620,40803.382812,10909.201172,17269.423828,5621.419922
000212,3000.000000,545.197388,0.000000,146.367081,40803.382812,10909.201172,17269.423828,5621.419922
000213,3000.000000,548.951782,0.000000,147.375000,40803.382812,10909.201172,17269.423828,5621.419922
000214,3000.000000,552.700439,0.000000,148.381393,40803.382812,10909.201172,17269.423828,5621.419922
000215,3000.000000,556.443115,0.000000,149.386185,42710.160156,11418.998047,18101.949219,5892.417480
000216,3000.000000,560.180359,0.000000,150.389511,42710.160156,11418.998047,18101.949219,5892.417480
000217,3000.000000,563.911621,0.000000,151.391220,42710.160156,11418.998047,18101.949219,5892.417480
000218,3000.000000,567.637512,0.000000,152.391495,42710.160156,11418.998047,18101.949219,5892.417480
000219,3000.000000,571.357300,0.000000,153.390137,44691.902344,11948.837891,18968.496094,6174.489258
000220,3000.000000,575.071716,0.000000,154.387329,44691.902344,11948.837891,18968.496094,6174.489258
000221,3000.000000,578.780151,0.000000,155.382919,44691.902344,11948.837891,18968.496094,6174.489258
000222,3000.000000,582.483154,0.000000,156.377045,44691.902344,11948.837891,18968.496094,6174.489258
000223,3000.000000,586.180176,0.000000,157.369568,46750.996094,12499.357422,19870.195312,6468.003906
000224,3000.000000,589.871704,0.000000,158.360626,46750.996094,12499.357422,19870.195312,6468.003906
000225,3000.000000,593.557556,0.000000,159.350159,46750.996094,12499.357422,19870.195312,6468.003906
000226,3000.000000,597.237732,0.000000,160.338150,46750.996094,12499.357422,19870.195312,6468.003906
000227,3000.000000,600.912476,0.000000,161.324692,46750.996094,12499.357422,19870.195312,6468.003906
000228,3000.000000,604.581177,0.000000,162.309631,48889.816406,13071.192383,20808.191406,6773.333984
000229,3000.000000,608.244507,0.000000,163.293106,48889.816406,13071.192383,20808.191406,6773.333984
000230,3000.000000,611.902344,0.000000,164.275116,48889.816406,13071.192383,20808.191406,6773.333984
000231,3000.000000,615.554260,0.000000,165.255524,48889.816406,13071.192383,20808.191406,6773.333984
000232,3000.000000,619.200684,0.000000,166.234467,48889.816406,13071.192383,20808.191406,6773.333984
000233,3000.000000,622.841736,0.000000,167.211960,51110.851562,13665.009766,21783.669922,7090.864746
000234,3000.000000,626.477051,0.000000,168.187927,51110.851562,13665.009766,21783.669922,7090.864746
000235,3000.000000,630.106689,0.000000,169.162354,51110.851562,13665.009766,21783.669922,7090.864746
000236,3000.000000,633.730835,0.000000,170.135330,51110.851562,13665.009766,21783.669922,7090.864746
000237,3000.000000,637.349609,0.000000,171.106842,53416.601562,14281.474609,22797.820312,7420.983887
000238,3000.000000,640.962646,0.000000,172.076813,53416.601562,14281.474609,22797.820312,7420.983887
000239,3000.000000,644.570007,0.000000,173.045273,53416.601562,14281.474609,22797.820312,7420.983887
000240,3000.000000,648.171875,0.000000,174.012253,53416.601562,14281.474609,22797.820312,7420.983887
000241,3000.000000,651.768372,0.000000,174.977798,53416.601562,14281.474609,22797.820312,7420.983887
000242,3000.000000,655.359131,0.000000,175.941788,55809.640625,14921.278320,23851.890625,7764.097168
000243,3000.000000,658.944519,0.000000,176.904343,55809.640625,14921.278320,23851.890625,7764.097168
000244,3000.000000,662.524414,0.000000,177.865433,55809.640625,14921.278320,23851.890625,7764.097168
000245,3000.000000,666.098938,0.000000,178.825058,55809.640625,14921.278320,23851.890625,7764.097168
